date,portfolio_return,turnover,transaction_cost,portfolio_return_net
2020-01-03,-0.0086157718834896,1.0,0.0005,-0.0091157718834896
2020-01-06,0.005208495613472584,0.5,0.00025,0.004958495613472584
2020-01-07,0.0037149669574832282,0.5,0.00025,0.003464966957483228
2020-01-09,-0.0013909013101415454,0.5000000000000001,0.00025000000000000006,-0.0016409013101415454
2020-01-10,0.0026385034449785474,0.5000000000000001,0.00025000000000000006,0.0023885034449785472
2020-01-13,-0.0014934868368444859,0.5,0.00025,-0.0017434868368444859
2020-01-15,-0.004805167460801171,0.5,0.00025,-0.005055167460801171
2020-01-16,-0.0003341888064916501,0.5,0.00025,-0.0005841888064916502
2020-01-17,-0.00502607320431467,0.5,0.00025,-0.00527607320431467
2020-01-21,0.0022756063900508604,0.5,0.00025,0.0020256063900508606
2020-01-22,-0.002977976138479056,0.5,0.00025,-0.003227976138479056
2020-01-23,0.0006952480326460892,0.5000000000000001,0.00025000000000000006,0.0004452480326460891
2020-01-24,-0.004731590466245494,0.5,0.00025,-0.004981590466245495
2020-01-27,-0.0007702426856507446,0.49999999999999994,0.00024999999999999995,-0.0010202426856507445
2020-01-29,0.0037116813386336273,0.5,0.00025,0.0034616813386336275
2020-01-30,0.003963161970392658,0.5000000000000001,0.00025000000000000006,0.003713161970392658
2020-01-31,0.022351307710347157,0.5,0.00025,0.022101307710347157
2020-02-04,-0.005458208601276614,0.5000000000000001,0.00025000000000000006,-0.005708208601276615
2020-02-05,8.330739281441397e-05,0.5,0.00025,-0.00016669260718558604
2020-02-06,0.0010023087960499752,0.5,0.00025,0.0007523087960499752
2020-02-10,0.00027308517153215784,0.49999999999999994,0.00024999999999999995,2.308517153215789e-05
2020-02-11,-0.00023133327176325775,0.5000000000000001,0.00025000000000000006,-0.0004813332717632578
2020-02-12,-0.0017609131608899507,0.5,0.00025,-0.0020109131608899507
2020-02-13,0.006543360200459625,0.4999999999999999,0.00024999999999999995,0.006293360200459625
2020-02-14,0.00460409667739599,0.5,0.00025,0.00435409667739599
2020-02-18,0.004190397824092104,0.5,0.00025,0.003940397824092104
2020-02-19,-0.0033381642461099287,0.5,0.00025,-0.003588164246109929
2020-02-20,0.0014748620871784294,0.5000000000000001,0.00025000000000000006,0.0012248620871784294
2020-02-21,0.005913237683339211,0.5000000000000001,0.00025000000000000006,0.0056632376833392105
2020-02-24,0.008777483913332985,0.5,0.00025,0.008527483913332985
2020-02-25,0.0046742268658861805,0.4999999999999999,0.00024999999999999995,0.00442422686588618
2020-02-26,-0.0008753047508391057,0.49999999999999994,0.00024999999999999995,-0.0011253047508391057
2020-02-27,-0.003028476270576627,0.5000000000000001,0.00025000000000000006,-0.0032784762705766273
2020-02-28,0.0005162663507091445,0.4999999999999999,0.00024999999999999995,0.00026626635070914453
2020-03-02,0.00043598495296183135,0.49999999999999994,0.00024999999999999995,0.0001859849529618314
2020-03-03,-0.0021931257598608637,0.49999999999999994,0.00024999999999999995,-0.0024431257598608635
2020-03-04,0.000407216729632039,0.5,0.00025,0.00015721672963203898
2020-03-05,0.007152041124841992,0.5000000000000001,0.00025000000000000006,0.006902041124841992
2020-03-06,0.0005850150085376302,0.5,0.00025,0.00033501500853763016
2020-03-09,-0.007091634634140068,0.49999999999999994,0.00024999999999999995,-0.007341634634140068
2020-03-10,0.0004266894992362364,0.5,0.00025,0.0001766894992362364
2020-03-11,0.0043342591748732244,0.5,0.00025,0.004084259174873224
2020-03-12,-0.0025519799367098757,0.5,0.00025,-0.002801979936709876
2020-03-13,0.006921498044761422,0.5,0.00025,0.006671498044761422
2020-03-16,-0.0024788668645130247,0.49999999999999994,0.00024999999999999995,-0.0027288668645130245
2020-03-17,0.0048506681668147806,0.5,0.00025,0.00460066816681478
2020-03-18,0.0011525298513041285,0.49999999999999994,0.00024999999999999995,0.0009025298513041285
2020-03-19,0.0029704860736671284,0.5,0.00025,0.002720486073667128
2020-03-20,0.005017833591377033,0.5000000000000001,0.00025000000000000006,0.004767833591377032
2020-03-23,-0.0033486054168751986,0.5,0.00025,-0.003598605416875199
2020-03-24,-0.005908369836447884,0.5,0.00025,-0.006158369836447884
2020-03-25,0.0001936459766369897,0.5,0.00025,-5.635402336301031e-05
2020-03-26,0.0026900252865880016,0.5,0.00025,0.0024400252865880018
2020-03-27,0.00464740047131905,0.5000000000000001,0.00025000000000000006,0.00439740047131905
2020-03-30,-0.0030775015940427567,0.5,0.00025,-0.003327501594042757
2020-03-31,-0.0053093677230665335,0.5000000000000001,0.00025000000000000006,-0.005559367723066534
2020-04-01,0.0028435539947709292,0.5000000000000001,0.00025000000000000006,0.002593553994770929
2020-04-02,-0.0025309966064252804,0.5000000000000001,0.00025000000000000006,-0.0027809966064252806
2020-04-03,-0.009510234370173561,0.5,0.00025,-0.009760234370173562
2020-04-06,-0.0025961509414461647,0.5,0.00025,-0.0028461509414461645
2020-04-07,0.0018261464697867358,0.5,0.00025,0.0015761464697867358
2020-04-08,0.0019221940370554103,0.5,0.00025,0.0016721940370554103
2020-04-09,-0.0032119384944478977,0.5,0.00025,-0.003461938494447898
2020-04-13,0.006254295659741793,0.5000000000000001,0.00025000000000000006,0.006004295659741793
2020-04-14,0.0066392306125799706,0.5,0.00025,0.00638923061257997
2020-04-15,0.010353578714386046,0.5000000000000001,0.00025000000000000006,0.010103578714386045
2020-04-16,-0.01774355055687475,0.5,0.00025,-0.01799355055687475
2020-04-17,0.0038866714040531724,0.4999999999999999,0.00024999999999999995,0.0036366714040531726
2020-04-20,-0.000931487662564837,0.5,0.00025,-0.001181487662564837
2020-04-21,-0.002401131493671387,0.49999999999999994,0.00024999999999999995,-0.002651131493671387
2020-04-22,0.0011330586821754036,0.5000000000000001,0.00025000000000000006,0.0008830586821754036
2020-04-23,0.00029335563008722396,0.49999999999999994,0.00024999999999999995,4.335563008722401e-05
2020-04-24,-0.00901099037619599,0.4999999999999999,0.00024999999999999995,-0.00926099037619599
2020-04-27,0.004104363566376217,0.49999999999999994,0.00024999999999999995,0.0038543635663762176
2020-04-28,0.007974827287205475,0.5000000000000001,0.00025000000000000006,0.007724827287205475
2020-04-29,-0.008689305239556846,0.5,0.00025,-0.008939305239556846
2020-04-30,-0.0032732015052890444,0.5,0.00025,-0.0035232015052890442
2020-05-01,-0.003085925447114088,0.49999999999999994,0.00024999999999999995,-0.003335925447114088
2020-05-04,0.0026047879191528085,0.5,0.00025,0.0023547879191528082
2020-05-05,-0.0019541931012399772,0.4999999999999999,0.00024999999999999995,-0.002204193101239977
2020-05-07,0.00011282116241115607,0.4999999999999999,0.00024999999999999995,-0.00013717883758884388
2020-05-08,0.00434246096466972,0.49999999999999994,0.00024999999999999995,0.00409246096466972
