bucket,avg_signal,avg_future_return,median_future_return,count
0,-0.9591505065257192,0.006457636632366406,0.0105249241747912,298
1,-0.615505879884429,0.004224121012776188,0.0018454357363166,297
2,0.09361449601878756,9.279076097499092e-05,0.0012791952479119,298
3,0.6372073367175117,0.0004192139876462271,0.0005430576766296,296
4,0.9070254340720981,-0.0006677091681493119,-0.0021155774886002,298
