date,ticker,close,ret_1d,fwd_ret_1d,fwd_ret_5d,vol_20d,vol_20d_ann
2020-01-02,AAPL,72.33386993408203,,-0.009722026654515936,0.030897447459087735,,
2020-01-03,AAPL,71.6306381225586,-0.009722026654515936,0.007968348572992223,0.04337127830681986,,
2020-01-06,AAPL,72.201416015625,0.007968348572992223,-0.004703186446065266,0.057238145717309674,,
2020-01-07,AAPL,71.8618392944336,-0.004703186446065266,0.016086399142166252,0.047890477568126366,,
2020-01-08,AAPL,73.01783752441406,0.016086399142166252,0.02124089685551378,0.026880567705619862,,
2020-01-09,AAPL,74.56880187988281,0.02124089685551378,0.002260309670200744,0.018118184770391066,,
2020-01-10,AAPL,74.73735046386719,0.002260309670200744,0.021364695333001116,0.02706836502424359,,
2020-01-13,AAPL,76.33409118652344,0.021364695333001116,-0.01350319461899152,-0.0012301526936525642,,
2020-01-14,AAPL,75.30333709716797,-0.01350319461899152,-0.004285847877425253,0.016054553933730897,,
2020-01-15,AAPL,74.98059844970703,-0.004285847877425253,0.012526637292341603,0.02534235082989089,,
2020-01-16,AAPL,75.91985321044922,0.012526637292341603,0.011071084850346802,0.009738651530047271,,
2020-01-17,AAPL,76.76036834716797,0.011071084850346802,-0.006776670822924102,-0.03068441085424256,,
2020-01-21,AAPL,76.24018859863281,-0.006776670822924102,0.00356911479828681,0.0035376926582471047,,
2020-01-22,AAPL,76.51229858398438,0.00356911479828681,0.004816016560603487,0.020900183674324113,,
2020-01-23,AAPL,76.88078308105469,0.004816016560603487,-0.0028820319863672728,0.014534999689389094,,
2020-01-24,AAPL,76.65921020507812,-0.0028820319863672728,-0.029405319094304105,-0.027645842763186934,,
2020-01-27,AAPL,74.40502166748047,-0.029405319094304105,0.02828950572755562,-0.0009383316850236634,,
2020-01-28,AAPL,76.50990295410156,0.02828950572755562,0.020932149457744798,0.0036511650123161044,,
2020-01-29,AAPL,78.11141967773438,0.020932149457744798,-0.0014488846694054036,-0.008910337929835421,,
